"Survey ID","User ID","Start time","Submission time","Time to complete","Meal ID","Meal name","Food ID","Search term","Intake24 food code","Food description","NDNS food code","Food group code","Food group","Ready meal","Brand","Serving size (g/ml)","Serving image","Leftovers (g/ml)","Leftovers image","Portion size (g/ml)","Reasonable amount","protein","fat","carbohydrate","energy_kcal","energy_kj","alcohol","total_sugars","nmes","satd_fa","cholesterol","vitamin_a","vitamin_d","vitamin_c","vitamin_e","folate","sodium","calcium","iron","zinc","selenium"
"53bab591e4b0b4a1c7d44eb5","demo12","07/07/14 10:50","07/07/14 10:58","7 min","1","Early snack or drink","0","apple pie","ACNW","Apple crumble","502","111","Non milk based sweet puddings: (excluding yoghurts and canned/stewed fruits) e.g. meringue, cheesecake, gateaux, jelly, fruit pies (pastry), crumble","no","Other","40.00","N/A","0.00","N/A","40.00","yes","0.68","2.64","14.68","81.60","344.40","0.00","9.36","6.92","0.91","0.40","30.80","0.29","2.76","0.52","0.80","30.00","8.80","0.20","0.04","0.40"
"53bab591e4b0b4a1c7d44eb5","demo12","07/07/14 10:50","07/07/14 10:58","7 min","1","Early snack or drink","1","water","SMWB","Bottled mineral water, still or fizzy","8333","90","Water","no","N/A","750.00","N/A","0.00","N/A","750.00","yes","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"53bab591e4b0b4a1c7d44eb5","demo12","07/07/14 10:50","07/07/14 10:58","7 min","2","Lunch","0","potato","OPMM","Mashed Potato","1833","65","Other potatoes","no","N/A","183.00","https://intake24.co.uk/intake24-images/m533.jpg","0.00","N/A","183.00","yes","3.11","5.67","29.46","173.85","732.00","0.00","1.28","0.00","1.24","0.00","62.22","0.53","10.43","2.56","32.94","67.71","9.15","0.73","0.55","1.83"
"53bab591e4b0b4a1c7d44eb5","demo12","07/07/14 10:50","07/07/14 10:58","7 min","2","Lunch","1","onion","SPRO","Spring onions","7722","70","Other vegetables (excluding potato): carrots, green beans, pulses, cabbage, tomato base sauce, mushrooms, sweetcorn, stir fried vegetables, green salad","no","N/A","14.00","N/A","0.00","N/A","14.00","yes","0.28","0.07","0.42","3.22","13.72","0.00","0.39","0.00","0.01","0.00","14.42","0.00","3.64","0.11","7.56","0.98","5.46","0.27","0.06","0.14"
"53bab591e4b0b4a1c7d44eb5","demo12","07/07/14 10:50","07/07/14 10:58","7 min","2","Lunch","2","cheese","GOCH","Goats cheese","7057","28","Other cheese: edam, cheddar","no","N/A","60.00","N/A","0.00","N/A","60.00","yes","12.66","15.48","0.60","192.00","798.00","0.00","0.60","0.00","10.75","55.80","199.80","0.30","0.00","0.36","13.20","360.60","79.80","0.00","0.60","3.60"
"53bab591e4b0b4a1c7d44eb5","demo12","07/07/14 10:50","07/07/14 10:58","7 min","2","Lunch","3","water","SMWB","Bottled mineral water, still or fizzy","8333","90","Water","no","N/A","750.00","N/A","0.00","N/A","750.00","yes","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"53bab591e4b0b4a1c7d44eb5","demo12","07/07/14 10:50","07/07/14 10:58","7 min","3","Afternoon snack or drink","0","almonds","ALMD","Almonds","2169","75","Nuts","no","N/A","40.00","N/A","0.00","N/A","40.00","yes","8.44","22.32","2.76","244.80","1013.60","0.00","1.68","0.00","1.77","0.00","0.00","0.00","0.00","9.60","19.20","5.60","96.00","1.20","1.28","0.80"
"53bab591e4b0b4a1c7d44eb5","demo12","07/07/14 10:50","07/07/14 10:58","7 min","3","Afternoon snack or drink","1","waffle","AMWA","American-style waffles, plain ","3204","101","Other breads with >8g/100g fat: naan, chapatis (made with fat), fried papadums, croissants, fried bread","no","N/A","25.00","N/A","0.00","N/A","25.00","yes","1.93","3.65","8.80","73.50","309.00","0.00","1.00","0.45","0.75","19.75","10.50","0.17","0.10","0.73","2.75","133.25","31.50","0.28","0.18","1.75"
"53bab591e4b0b4a1c7d44eb5","demo12","07/07/14 10:50","07/07/14 10:58","7 min","3","Afternoon snack or drink","2","water","SMWB","Bottled mineral water, still or fizzy","8333","90","Water","no","N/A","750.00","N/A","0.00","N/A","750.00","yes","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"53bbe8e2e4b0b4a1c7d44edf","demo22","08/07/14 08:34","08/07/14 08:49","15 min","0","Breakfast","0","Toast","WTST","Toast, white bread","126","1","White bread/rolls","no","N/A","54.00","N/A","0.00","N/A","54.00","yes","5.35","1.46","33.16","158.76","674.46","0.00","2.27","0.00","0.36","0.00","0.00","0.00","0.00","0.11","13.50","264.60","95.58","0.86","0.43","2.70"
"53bbe8e2e4b0b4a1c7d44edf","demo22","08/07/14 08:34","08/07/14 08:49","15 min","0","Breakfast","1","associated food prompt","LURP","Lurpak, salted","851","30","Butter: includes half fat butter and other animal fats (e.g. lard)","no","N/A","5.30","https://intake24.co.uk/intake24-images/703.jpg","0.00","N/A","5.30","yes","0.03","4.34","0.04","39.27","161.54","0.00","0.04","0.00","2.81","11.77","48.23","0.05","0.00","0.10","0.00","32.12","0.95","0.00","0.01","0.00"
"53bbe8e2e4b0b4a1c7d44edf","demo22","08/07/14 08:34","08/07/14 08:49","15 min","0","Breakfast","2","Banana","BANA","Bananas","1977","73","Fresh fruit","no","N/A","218.00","N/A","0.00","N/A","218.00","yes","2.62","0.65","50.58","207.10","878.54","0.00","45.56","0.00","0.24","0.00","8.72","0.00","23.98","0.65","30.52","2.18","13.08","0.65","0.44","2.18"
"53bbe8e2e4b0b4a1c7d44edf","demo22","08/07/14 08:34","08/07/14 08:49","15 min","0","Breakfast","3","Orange juice","TROP","Tropicana orange juice","2339","86","Fruit juices e.g. fresh orange juice","no","N/A","216.87","N/A","0.00","N/A","216.87","yes","1.30","0.00","17.57","71.57","303.62","0.00","17.57","17.57","0.00","0.00","6.51","0.00","104.10","0.43","60.72","4.34","26.02","0.65","0.00","2.17"
"53bbe8e2e4b0b4a1c7d44edf","demo22","08/07/14 08:34","08/07/14 08:49","15 min","1","Lunch","0","Cheese sandwich","CTRO","Cheese topped roll","6976","1","White bread/rolls","no","N/A","61.00","N/A","0.00","N/A","61.00","yes","6.53","4.94","27.21","172.63","730.17","0.00","1.46","0.00","2.46","6.71","25.01","0.04","0.00","0.37","18.30","340.99","136.03","0.73","0.73","3.66"
"53bbe8e2e4b0b4a1c7d44edf","demo22","08/07/14 08:34","08/07/14 08:49","15 min","1","Lunch","1","Crisps","WALK","Walkers Crisps","10001","61","Potato based crisps – full fat","no","N/A","34.50","N/A","0.00","N/A","34.50","yes","2.14","9.94","19.25","170.08","712.08","0.00","0.31","0.00","0.86","0.00","1.73","0.00","5.87","3.14","21.39","208.38","16.56","0.52","0.31","0.35"
"53bbe8e2e4b0b4a1c7d44edf","demo22","08/07/14 08:34","08/07/14 08:49","15 min","1","Lunch","2","grapes","RGPS","Red Grapes","2041","73","Fresh fruit","no","N/A","109.97","https://intake24.co.uk/intake24-images/Grap6.jpg","0.00","N/A","109.97","yes","0.44","0.11","16.94","65.98","282.62","0.00","16.94","0.00","0.04","0.00","3.30","0.00","3.30","0.00","2.20","2.20","14.30","0.33","0.11","1.10"
"53bbe8e2e4b0b4a1c7d44edf","demo22","08/07/14 08:34","08/07/14 08:49","15 min","1","Lunch","3","squares bar","RKCB","Rice krispies cereal bar","3882","8","Breakfast alternatives: nutrigrain bar, pop tart, breakfast cereal bars","no","N/A","29.80","N/A","0.00","N/A","29.80","yes","2.09","3.58","22.71","125.76","531.04","0.00","11.80","9.24","2.83","3.28","7.45","0.00","0.60","0.06","47.38","80.46","189.23","3.31","0.27","0.30"
"53bbe8e2e4b0b4a1c7d44edf","demo22","08/07/14 08:34","08/07/14 08:49","15 min","1","Lunch","4","water","TWTR","Water (from tap, including filtered)","5000","90","Water","no","N/A","220.68","N/A","0.00","N/A","220.68","yes","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"53bbe8e2e4b0b4a1c7d44edf","demo22","08/07/14 08:34","08/07/14 08:49","15 min","2","Evening meal","0","Spaghetti bolognese","SPGS","Spaghetti bolognaise","9245","107","Meat based pasta dishes","yes","N/A","113.00","https://intake24.co.uk/intake24-images/PstSau5.jpg","4.00","https://intake24.co.uk/intake24-images/PstSau11.jpg","109.00","yes","6.76","4.69","15.91","129.71","543.91","0.00","1.74","0.33","1.96","11.99","16.35","0.17","2.18","0.22","5.45","185.30","14.17","0.98","1.09","3.27"
"53bbe8e2e4b0b4a1c7d44edf","demo22","08/07/14 08:34","08/07/14 08:49","15 min","2","Evening meal","1","Garlic bread","GPIZ","Garlic/Herb bread, pizza","8416","101","Other breads with >8g/100g fat: naan, chapatis (made with fat), fried papadums, croissants, fried bread","no","N/A","90.00","N/A","0.00","N/A","90.00","yes","6.75","11.61","45.00","300.60","1264.50","0.00","3.96","2.07","1.16","0.00","11.70","0.00","1.17","2.16","10.80","682.20","84.60","2.07","0.63","0.90"
"53bbe8e2e4b0b4a1c7d44edf","demo22","08/07/14 08:34","08/07/14 08:49","15 min","2","Evening meal","2","kit kat","KTKT","Kit kat","2277","81","Chocolate: includes all plain, milk & white chocolate bars & coated bars e.g. caramels & wafers and full coated chocolate biscuits","no","N/A","50.00","N/A","0.00","N/A","50.00","yes","2.75","14.30","30.55","254.50","1065.00","0.00","22.55","19.15","8.75","8.00","8.00","0.00","0.00","0.40","5.50","45.00","83.50","1.20","0.40","2.00"
"53bbe8e2e4b0b4a1c7d44edf","demo22","08/07/14 08:34","08/07/14 08:49","15 min","2","Evening meal","3","Water","TWTR","Water (from tap, including filtered)","5000","90","Water","no","N/A","750.00","N/A","0.00","N/A","750.00","yes","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"53bbe8e2e4b0b4a1c7d44edf","demo22","08/07/14 08:34","08/07/14 08:49","15 min","3","Late snack or drink","0","Angel cake","BTNB","Battenberg cake","304","16","Cakes: sweet buns, sweet pastries, fruit scones and custard tart (sweet but not savoury based items)","no","Mr Kipling","54.00","N/A","0.00","N/A","54.00","yes","2.38","5.35","35.59","191.16","807.30","0.00","30.67","30.40","1.66","3.24","0.00","0.00","0.00","0.59","4.32","73.98","57.78","0.32","0.22","1.62"
"53bbe8e2e4b0b4a1c7d44edf","demo22","08/07/14 08:34","08/07/14 08:49","15 min","3","Late snack or drink","1","water","TWTR","Water (from tap, including filtered)","5000","90","Water","no","N/A","220.68","N/A","0.00","N/A","220.68","yes","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"53be455fe4b0b4a1c7d44eed","demo43","10/07/14 03:46","10/07/14 03:48","2 min","0","Breakfast","0","dog","FRFT","Hot Dogs / Frankfurters","1271","48","Sausages","no","N/A","33.00","N/A","0.00","N/A","33.00","yes","3.86","8.38","0.36","92.40","381.48","0.00","0.36","0.00","3.10","25.08","0.00","0.17","0.00","0.20","0.99","264.00","3.96","0.36","0.46","2.64"
"53be455fe4b0b4a1c7d44eed","demo43","10/07/14 03:46","10/07/14 03:48","2 min","0","Breakfast","1","associated food prompt","TKRS","Tomato ketchup, reduced salt and sugar ","9101","95","Ketchup","no","N/A","14.00","https://intake24.co.uk/intake24-images/412.jpg","0.00","N/A","14.00","yes","0.25","0.00","2.91","11.90","50.82","0.00","2.41","2.23","0.00","0.00","5.32","0.00","0.28","0.14","0.14","98.00","3.50","0.17","0.01","0.00"
"53be455fe4b0b4a1c7d44eed","demo43","10/07/14 03:46","10/07/14 03:48","2 min","0","Breakfast","2","bread","BSLC","Brown bread","102","2","Brown and wholemeal bread/rolls","no","N/A","47.00","N/A","0.00","N/A","47.00","yes","4.47","1.22","21.76","110.45","470.00","0.00","2.16","0.00","0.24","0.00","0.00","0.00","0.00","0.00","21.15","192.70","87.42","1.03","0.61","1.88"
"53be455fe4b0b4a1c7d44eed","demo43","10/07/14 03:46","10/07/14 03:48","2 min","0","Breakfast","3","coffee","CFFB","Coffee","2307","92","Coffee (excluding added sugar)","no","N/A","266.50","N/A","0.00","N/A","266.50","yes","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2.66","7.99","0.27","0.27","0.00"
"53be455fe4b0b4a1c7d44eed","demo43","10/07/14 03:46","10/07/14 03:48","2 min","1","Early snack or drink","0","chips","FCOB","Oven chips","10561","57","Oven chips","no","N/A","153.00","https://intake24.co.uk/intake24-images/chips/curf4.jpg","0.00","N/A","153.00","yes","4.90","7.50","54.01","289.17","1224.00","0.00","1.53","0.00","1.19","0.00","0.00","0.00","1.53","2.14","33.66","47.43","21.42","1.07","0.61","0.00"
"53be455fe4b0b4a1c7d44eed","demo43","10/07/14 03:46","10/07/14 03:48","2 min","1","Early snack or drink","1","associated food prompt","TKRS","Tomato ketchup, reduced salt and sugar ","9101","95","Ketchup","no","N/A","14.00","https://intake24.co.uk/intake24-images/412.jpg","0.00","N/A","14.00","yes","0.25","0.00","2.91","11.90","50.82","0.00","2.41","2.23","0.00","0.00","5.32","0.00","0.28","0.14","0.14","98.00","3.50","0.17","0.01","0.00"
"53be9835e4b0891e3f2f13bf","demo51","10/07/14 09:41","10/07/14 09:42","0 min","0","Breakfast","0","hot dog","FRFT","Hot Dogs / Frankfurters","1271","48","Sausages","no","N/A","102.00","N/A","0.00","N/A","102.00","yes","11.93","25.91","1.12","285.60","1179.12","0.00","1.12","0.00","9.58","77.52","0.00","0.51","0.00","0.61","3.06","816.00","12.24","1.12","1.43","8.16"
"53be9835e4b0891e3f2f13bf","demo51","10/07/14 09:41","10/07/14 09:42","0 min","0","Breakfast","1","associated food prompt","TKET","Tomato ketchup","2448","95","Ketchup","no","N/A","14.00","https://intake24.co.uk/intake24-images/412.jpg","0.00","N/A","14.00","yes","0.29","0.00","3.72","15.12","64.54","0.00","3.25","2.73","0.00","0.00","11.06","0.00","0.28","0.14","0.14","114.80","3.50","0.17","0.01","0.00"
"53c6561de4b0891e3f2f13d2","demo62","16/07/14 06:37","16/07/14 06:38","0 min","0","Breakfast","0","grapefruit juice","GFRU","Grapefruit, tinned in fruit juice","12049","20","Canned/stewed fruit","no","N/A","216.61","https://intake24.co.uk/intake24-images/CanFt6.jpg","0.00","N/A","216.61","yes","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"53ce4493e4b0891e3f2f13d7","demo65","22/07/14 06:10","22/07/14 07:01","50 min","0","Breakfast","0","bread","BSLC","Brown bread","102","2","Brown and wholemeal bread/rolls","no","N/A","264.00","N/A","0.00","N/A","264.00","yes","25.08","6.86","122.23","620.40","2640.00","0.00","12.14","0.00","1.32","0.00","0.00","0.00","0.00","0.00","118.80","1082.40","491.04","5.81","3.43","10.56"
"53ce4493e4b0891e3f2f13d7","demo65","22/07/14 06:10","22/07/14 07:01","50 min","0","Breakfast","1","cheese","GOCH","Goats cheese","7057","28","Other cheese: edam, cheddar","no","N/A","60.00","N/A","0.00","N/A","60.00","yes","12.66","15.48","0.60","192.00","798.00","0.00","0.60","0.00","10.75","55.80","199.80","0.30","0.00","0.36","13.20","360.60","79.80","0.00","0.60","3.60"
"53ce4493e4b0891e3f2f13d7","demo65","22/07/14 06:10","22/07/14 07:01","50 min","0","Breakfast","2","milks","KMLK","Skimmed milk","613","22","Skimmed milks: includes dried and longlife skimmed","no","N/A","300.01","N/A","0.00","N/A","300.01","yes","10.50","0.90","14.70","105.00","444.02","0.00","14.70","0.00","0.51","12.00","6.00","0.00","6.00","0.00","39.00","138.01","372.02","0.00","1.50","3.00"
"53ce4493e4b0891e3f2f13d7","demo65","22/07/14 06:10","22/07/14 07:01","50 min","0","Breakfast","3","cofee","CFFB","Coffee","2307","92","Coffee (excluding added sugar)","no","N/A","37.70","N/A","0.00","N/A","37.70","yes","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.38","1.13","0.04","0.04","0.00"
"53ce4493e4b0891e3f2f13d7","demo65","22/07/14 06:10","22/07/14 07:01","50 min","0","Breakfast","4","associated food prompt","WSGR","White sugar","2205","83","Table sugar: demerara, white","no","N/A","11.70","N/A","0.00","N/A","11.70","yes","0.00","0.00","12.29","46.10","196.56","0.00","12.29","12.29","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.59","0.59","0.01","0.01","0.00"
"53ce4493e4b0891e3f2f13d7","demo65","22/07/14 06:10","22/07/14 07:01","50 min","0","Breakfast","5","associated food prompt","CTSM","Skimmed milk","613","22","Skimmed milks: includes dried and longlife skimmed","no","N/A","11.90","N/A","0.00","N/A","11.90","yes","0.42","0.04","0.58","4.17","17.62","0.00","0.58","0.00","0.02","0.48","0.24","0.00","0.24","0.00","1.55","5.48","14.76","0.00","0.06","0.12"
"53ce4493e4b0891e3f2f13d7","demo65","22/07/14 06:10","22/07/14 07:01","50 min","0","Breakfast","6","tea","BTEA","Tea","2314","91","Tea (excluding added sugar)","no","N/A","333.50","N/A","0.00","N/A","333.50","yes","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","16.68","0.00","0.00","0.00","0.00","0.00"
"53ce4493e4b0891e3f2f13d7","demo65","22/07/14 06:10","22/07/14 07:01","50 min","0","Breakfast","7","associated food prompt","WSGR","White sugar","2205","83","Table sugar: demerara, white","no","N/A","11.70","N/A","0.00","N/A","11.70","yes","0.00","0.00","12.29","46.10","196.56","0.00","12.29","12.29","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.59","0.59","0.01","0.01","0.00"
"53ce4493e4b0891e3f2f13d7","demo65","22/07/14 06:10","22/07/14 07:01","50 min","1","Early snack or drink","0","yogurt","FFNT","Natural yoghurt","702","19","Whole milk yoghurt/fromage frais","no","N/A","125.00","N/A","0.00","N/A","125.00","yes","5.50","4.75","8.13","96.25","407.50","0.00","8.13","0.00","3.00","3.75","45.00","0.08","0.00","0.25","6.25","78.75","202.50","0.13","0.75","2.50"
"53ce4493e4b0891e3f2f13d7","demo65","22/07/14 06:10","22/07/14 07:01","50 min","1","Early snack or drink","1","cookies","CKSC","Chocolate chip cookies","7662","14","Sweet biscuits: excludes full coated biscuits","no","Nestle","136.00","N/A","0.00","N/A","136.00","yes","7.34","33.86","81.60","640.56","2683.28","0.00","40.80","39.30","16.52","4.08","0.00","0.00","0.00","2.99","48.96","405.28","159.12","3.13","0.95","5.44"
"53ce4493e4b0891e3f2f13d7","demo65","22/07/14 06:10","22/07/14 07:01","50 min","1","Early snack or drink","2","tea","BTEA","Tea","2314","91","Tea (excluding added sugar)","no","N/A","333.50","N/A","0.00","N/A","333.50","yes","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","16.68","0.00","0.00","0.00","0.00","0.00"
"53ce4493e4b0891e3f2f13d7","demo65","22/07/14 06:10","22/07/14 07:01","50 min","1","Early snack or drink","3","associated food prompt","WSGR","White sugar","2205","83","Table sugar: demerara, white","no","N/A","11.70","N/A","0.00","N/A","11.70","yes","0.00","0.00","12.29","46.10","196.56","0.00","12.29","12.29","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.59","0.59","0.01","0.01","0.00"
"53ce4493e4b0891e3f2f13d7","demo65","22/07/14 06:10","22/07/14 07:01","50 min","2","Lunch","0","meat","SLGV","Beef stew with gravy and vegetables","5385","40","Beef and beef dishes","no","N/A","106.00","https://intake24.co.uk/intake24-images/m328.jpg","0.00","N/A","106.00","yes","11.24","3.29","0.95","77.38","326.48","0.00","0.85","0.00","1.40","33.92","98.58","0.36","1.91","0.11","5.30","90.10","12.72","1.06","2.65","4.24"
"53ce4493e4b0891e3f2f13d7","demo65","22/07/14 06:10","22/07/14 07:01","50 min","2","Lunch","1","bread","BSLC","Brown bread","102","2","Brown and wholemeal bread/rolls","no","N/A","264.00","N/A","0.00","N/A","264.00","yes","25.08","6.86","122.23","620.40","2640.00","0.00","12.14","0.00","1.32","0.00","0.00","0.00","0.00","0.00","118.80","1082.40","491.04","5.81","3.43","10.56"
"53ce4493e4b0891e3f2f13d7","demo65","22/07/14 06:10","22/07/14 07:01","50 min","2","Lunch","2","carotes","OCFB","Carrots boiled/ steamed/ microwaved","1711","70","Other vegetables (excluding potato): carrots, green beans, pulses, cabbage, tomato base sauce, mushrooms, sweetcorn, stir fried vegetables, green salad","no","N/A","37.00","https://intake24.co.uk/intake24-images/carrots/cars3.jpg","0.00","N/A","37.00","yes","0.22","0.15","1.81","8.88","37.00","0.00","1.74","0.00","0.03","0.00","826.58","0.00","0.74","0.22","5.92","18.50","8.88","0.15","0.04","0.37"
"53ce4493e4b0891e3f2f13d7","demo65","22/07/14 06:10","22/07/14 07:01","50 min","2","Lunch","3","potato","OPTB","Potatoes, boiled / steamed / microwaved","1829","65","Other potatoes","no","N/A","218.83","https://intake24.co.uk/intake24-images/OldBo6.jpg","0.00","N/A","218.83","yes","3.94","0.22","37.20","157.56","669.62","0.00","1.53","0.00","0.04","0.00","0.00","0.00","13.13","0.22","41.58","15.32","10.94","0.88","0.66","2.19"
"53ce4493e4b0891e3f2f13d7","demo65","22/07/14 06:10","22/07/14 07:01","50 min","2","Lunch","4","olive oil","OLVE","Olive oil","874","36","Oils: vegetable oil, olive oil","no","N/A","33.80","N/A","0.00","N/A","33.80","yes","0.00","33.77","0.00","303.86","1249.25","0.00","0.00","0.00","4.83","0.00","0.00","0.00","0.00","1.72","0.00","0.00","0.00","0.14","0.00","0.00"
"53ce4493e4b0891e3f2f13d7","demo65","22/07/14 06:10","22/07/14 07:01","50 min","2","Lunch","5","garlic","HPCG","Garlic sausage","1337","48","Sausages","no","N/A","9.00","N/A","0.00","N/A","9.00","yes","1.43","1.82","0.07","22.32","92.79","0.00","0.00","0.00","0.17","6.30","0.00","0.08","2.74","0.04","0.36","83.70","1.08","0.07","0.14","0.63"
"53ce4493e4b0891e3f2f13d7","demo65","22/07/14 06:10","22/07/14 07:01","50 min","2","Lunch","6","onion","ONSF","Onions, fried","1789","70","Other vegetables (excluding potato): carrots, green beans, pulses, cabbage, tomato base sauce, mushrooms, sweetcorn, stir fried vegetables, green salad","no","N/A","37.50","N/A","0.00","N/A","37.50","yes","0.56","8.03","3.60","87.75","362.25","0.00","3.60","0.00","0.95","0.00","0.75","0.00","1.61","1.91","7.88","1.50","11.25","0.15","0.08","0.38"
